,Origin ISO,Destination ISO,distw_harmonic
196,ABW,SXM,966.0
197,ABW,SYC,13981.0
198,ABW,SYR,10717.39393939394
199,ABW,TCA,996.0
200,ABW,TCD,9205.0
201,ABW,TGO,7838.0
202,ABW,THA,16889.242424242424
203,ABW,TJK,12923.0
204,ABW,TKL,11449.0
205,ABW,TKM,12267.0
206,ABW,TLS,18273.0
207,ABW,TON,12067.0
208,ABW,TTO,951.0
209,ABW,TUN,8336.636363636364
210,ABW,TUR,10101.545454545454
211,ABW,TUV,12465.0
212,ABW,TWN,15729.151515151516
213,ABW,TZA,12114.484848484848
214,ABW,UGA,11380.0
215,ABW,UKR,9921.322580645161
216,ABW,URY,5442.0
217,ABW,USA,3463.060606060606
218,ABW,UZB,12725.741935483871
219,ABW,VCT,958.0
220,ABW,VEN,387.09090909090907
221,ABW,VGB,873.0
222,ABW,VIR,873.0
223,ABW,VNM,17041.636363636364
224,ABW,VUT,13759.0
225,ABW,WLF,12052.0
226,ABW,WSM,11591.0
227,ABW,YEM,12210.363636363636
228,ABW,ZAF,11322.151515151516
229,ABW,ZMB,11242.39393939394
230,ABW,ZWE,11531.0
231,AFG,ABW,13192.121212121212
232,AFG,AFG,0.0
233,AFG,AGO,7531.909090909091
234,AFG,AIA,12229.121212121212
235,AFG,ALB,4258.090909090909
236,AFG,AND,5729.818181818182
237,AFG,ARE,1606.8181818181818
238,AFG,ARG,15284.212121212122
239,AFG,ARM,2172.0
240,AFG,ASM,13745.666666666666
241,AFG,ATG,12234.424242424242
242,AFG,AUS,10966.787878787878
243,AFG,AUT,4497.575757575758
244,AFG,AZE,1764.6129032258063
245,AFG,BDI,5820.121212121212
246,AFG,BEL,5342.939393939394
247,AFG,BEN,7337.212121212121
248,AFG,BES,13102.787878787878
249,AFG,BFA,7468.393939393939
250,AFG,BGD,2479.2727272727275
251,AFG,BGR,3867.6060606060605
252,AFG,BHR,1891.4242424242425
253,AFG,BHS,12484.848484848484
254,AFG,BIH,4356.5
255,AFG,BLR,3788.3870967741937
256,AFG,BLZ,13787.727272727272
257,AFG,BMU,11135.272727272728
258,AFG,BOL,15100.272727272728
259,AFG,BRA,13208.30303030303
260,AFG,BRB,12393.060606060606
261,AFG,BRN,5813.939393939394
262,AFG,BTN,2180.848484848485
263,AFG,BWA,7907.787878787879
264,AFG,CAF,6084.484848484848
265,AFG,CAN,10564.121212121212
266,AFG,CHE,5164.515151515152
267,AFG,CHL,16257.09090909091
268,AFG,CHN,4300.030303030303
269,AFG,CIV,8028.818181818182
270,AFG,CMR,6760.060606060606
271,AFG,COD,6660.515151515152
272,AFG,COG,7092.878787878788
273,AFG,COK,15134.333333333334
274,AFG,COL,14086.69696969697
275,AFG,COM,5735.636363636364
276,AFG,CPV,9231.848484848484
277,AFG,CRI,14291.454545454546
278,AFG,CUB,12906.878787878788
279,AFG,CUW,13152.787878787878
280,AFG,CYM,13245.0
281,AFG,CYP,3155.909090909091
282,AFG,CZE,4604.413793103448
283,AFG,DEU,4951.787878787879
284,AFG,DJI,3567.939393939394
285,AFG,DMA,12349.242424242424
286,AFG,DNK,4804.848484848485
287,AFG,DOM,12656.242424242424
288,AFG,DZA,5757.787878787879
289,AFG,ECU,15038.181818181818
290,AFG,EGY,3490.3030303030305
291,AFG,ERI,3596.4137931034484
292,AFG,ESH,7613.121212121212
293,AFG,ESP,6064.666666666667
294,AFG,EST,4195.870967741936
295,AFG,ETH,4038.939393939394
296,AFG,FIN,4240.818181818182
297,AFG,FJI,12967.515151515152
298,AFG,FLK,15338.030303030304
299,AFG,FRA,5499.212121212121
300,AFG,FRO,5921.606060606061
301,AFG,FSM,9583.121212121212
302,AFG,GAB,7147.424242424242
303,AFG,GBR,5734.848484848485
304,AFG,GEO,2181.967741935484
305,AFG,GHA,7699.484848484848
306,AFG,GIB,6513.484848484848
307,AFG,GIN,8660.69696969697
308,AFG,GLP,12317.09090909091
309,AFG,GMB,8703.969696969696
310,AFG,GNB,8701.030303030304
311,AFG,GNQ,7019.575757575758
312,AFG,GRC,3974.121212121212
313,AFG,GRD,12637.212121212122
314,AFG,GRL,7885.363636363636
315,AFG,GTM,14129.272727272728
316,AFG,GUF,12418.30303030303
317,AFG,GUM,7956.818181818182
318,AFG,GUY,12764.333333333334
319,AFG,HKG,4663.848484848485
320,AFG,HND,14000.242424242424
321,AFG,HRV,4533.064516129032
322,AFG,HTI,12810.242424242424
323,AFG,HUN,4296.393939393939
324,AFG,IDN,6028.272727272727
325,AFG,IMN,5734.848484848485
326,AFG,IND,1647.3636363636363
327,AFG,IRL,6031.151515151515
328,AFG,IRN,1407.060606060606
329,AFG,IRQ,2150.6666666666665
330,AFG,ISL,6625.242424242424
331,AFG,ISR,3083.151515151515
332,AFG,ITA,4900.666666666667
333,AFG,JAM,13123.121212121212
334,AFG,JOR,2984.090909090909
335,AFG,JPN,6166.393939393939
336,AFG,KAZ,1394.1290322580646
337,AFG,KEN,5130.151515151515
338,AFG,KGZ,1086.258064516129
339,AFG,KHM,4497.545454545455
340,AFG,KIR,11286.757575757576
341,AFG,KNA,12282.424242424242
342,AFG,KOR,5297.060606060606
343,AFG,KWT,1961.0
344,AFG,LAO,3865.3636363636365
345,AFG,LBN,2986.060606060606
346,AFG,LBR,8598.363636363636
347,AFG,LBY,4809.030303030303
348,AFG,LCA,12424.242424242424
349,AFG,LIE,5017.0
350,AFG,LKA,3272.090909090909
351,AFG,LSO,8241.333333333334
352,AFG,LTU,3990.2258064516127
353,AFG,LUX,5240.424242424242
354,AFG,LVA,4135.741935483871
355,AFG,MAC,4609.060606060606
356,AFG,MAR,6747.333333333333
357,AFG,MCO,5231.969696969697
358,AFG,MDA,3551.6774193548385
359,AFG,MDG,6282.818181818182
360,AFG,MDV,3393.3939393939395
361,AFG,MEX,13658.969696969696
362,AFG,MHL,10770.39393939394
363,AFG,MKD,4118.419354838709
364,AFG,MLI,7941.787878787879
365,AFG,MLT,4819.121212121212
366,AFG,MMR,3321.848484848485
367,AFG,MNE,4291.0625
