,Origin ISO,Destination ISO,csl
0,ABW,ABW,1.6631225668608365
1,ABW,AFG,0.0195292837610842
2,ABW,AGO,0.0
3,ABW,AIA,0.4805826398978867
4,ABW,ALB,0.0
5,ABW,AND,0.765841305704745
6,ABW,ARE,0.005528740253526
7,ABW,ARG,0.9403271381270288
8,ABW,ARM,0.0
9,ABW,ASM,0.488428887079893
10,ABW,ATG,0.2826409034467521
11,ABW,AUS,0.5105424069309394
12,ABW,AUT,0.3691941865215362
13,ABW,AZE,0.0001473566526296
14,ABW,BDI,0.0
15,ABW,BEL,0.2262739686113304
16,ABW,BEN,0.0
17,ABW,BES,0.7480297351212574
18,ABW,BFA,0.0
19,ABW,BGD,0.002451972191427
20,ABW,BGR,0.1284337275117369
21,ABW,BHR,0.006121183357100249
22,ABW,BHS,0.2819548125272371
23,ABW,BIH,0.0266009531727674
24,ABW,BLR,0.0
25,ABW,BLZ,0.5598657026852261
26,ABW,BMU,0.07378241194284496
27,ABW,BOL,0.9663914408652168
28,ABW,BRA,0.0286488750494519
29,ABW,BRB,0.2591559627756093
30,ABW,BRN,0.1530042523456379
31,ABW,BTN,0.0
32,ABW,BWA,0.1506771983894811
33,ABW,CAF,0.0
34,ABW,CAN,0.402880930987446
35,ABW,CHE,0.2789000911812606
36,ABW,CHL,1.0157527250892635
37,ABW,CHN,1.3155554041582322e-05
38,ABW,CIV,0.0195176876338062
39,ABW,CMR,0.359102625234824
40,ABW,COD,0.0
41,ABW,COG,0.0
42,ABW,COK,0.488428887079893
43,ABW,COL,0.978483841260582
44,ABW,COM,0.0
45,ABW,CPV,0.0
46,ABW,CRI,0.9564247186898012
47,ABW,CUB,0.9663914408652168
48,ABW,CUW,0.7480297351212574
49,ABW,CYM,0.10020480988135574
50,ABW,CYP,0.2816774126556333
51,ABW,CZE,0.1299020903966534
52,ABW,DEU,0.2831888785556565
53,ABW,DJI,0.0
54,ABW,DMA,0.488428887079893
55,ABW,DNK,0.4582888251931943
56,ABW,DOM,0.953283237218896
57,ABW,DZA,0.0376124847586622
58,ABW,ECU,0.9217055226344116
59,ABW,EGY,0.1450833059577821
60,ABW,ERI,0.0
61,ABW,ESH,0.0364051570188951
62,ABW,ESP,0.9528782200062073
63,ABW,EST,0.2094874213226032
64,ABW,ETH,0.0012573071258019
65,ABW,FIN,0.345234662530242
66,ABW,FJI,0.1022352458565971
67,ABW,FLK,0.07482892605528055
68,ABW,FRA,0.2619942582857241
69,ABW,FRO,0.0462774940039738
70,ABW,FSM,0.2697996518848666
71,ABW,GAB,0.0
72,ABW,GBR,0.5266130161425873
73,ABW,GEO,0.0
