,Origin ISO,Destination ISO,Religious similarity
0,ABW,ABW,1.24514
1,ABW,AFG,0.0003658
2,ABW,AGO,1.2105728999999998
3,ABW,AIA,0.838508
4,ABW,ALB,0.2831881
5,ABW,AND,1.3924857
6,ABW,ARE,0.0818641
7,ABW,ARG,1.2744807999999999
8,ABW,ARM,0.7817909999999999
9,ABW,ASM,0.8060599999999999
10,ABW,ATG,0.728536
11,ABW,AUS,0.6811528000000001
12,ABW,AUT,1.0922809999999998
13,ABW,AZE,0.0208431
14,ABW,BDI,1.2024932
15,ABW,BEL,1.049969
16,ABW,BEN,0.5189507999999999
17,ABW,BES,0.8528290000000001
18,ABW,BFA,0.4241745
19,ABW,BGD,0.0021916
20,ABW,BGR,0.6838904
21,ABW,BHR,0.101277
22,ABW,BHS,0.9328589999999999
23,ABW,BIH,0.5414515
24,ABW,BLR,0.5425082999999999
25,ABW,BLZ,0.9306597999999999
26,ABW,BMU,0.7161519999999999
27,ABW,BOL,1.3906856
28,ABW,BRA,1.1903921
29,ABW,BRB,0.5869669
30,ABW,BRN,0.03571339999999999
31,ABW,BTN,0.0126631
32,ABW,BWA,0.6255847
33,ABW,CAF,0.5904571999999999
34,ABW,CAN,0.9654697
35,ABW,CHE,1.0394037
36,ABW,CHL,1.3286984000000002
37,ABW,CHN,0.07352500000000001
38,ABW,CIV,0.5202956999999999
39,ABW,CMR,0.6138407
40,ABW,COD,1.1569644999999997
41,ABW,COG,1.0422240999999999
42,ABW,COK,0.817855
43,ABW,COL,1.421117
44,ABW,COM,0.0021769
45,ABW,CPV,1.4495747999999997
46,ABW,CRI,1.3212383
47,ABW,CUB,1.0018966
48,ABW,CUW,1.3180829999999997
49,ABW,CYM,0.7820699999999998
50,ABW,CYP,0.6265944
51,ABW,CZE,0.36628349999999993
52,ABW,DEU,1.0954906000000002
53,ABW,DJI,0.017155999999999998
54,ABW,DMA,1.34486
55,ABW,DNK,0.7205216
56,ABW,DOM,1.2695099999999997
57,ABW,DZA,0.006696
58,ABW,ECU,1.401446
59,ABW,EGY,0.1016576
60,ABW,ERI,0.5030589999999999
61,ABW,ESH,0.008199999999999999
62,ABW,ESP,1.2429848
63,ABW,EST,0.279211
64,ABW,ETH,0.5190521
65,ABW,FIN,0.698577
66,ABW,FJI,0.6417083
67,ABW,FLK,0.48769
68,ABW,FRA,1.0731813
69,ABW,FRO,0.7343500000000001
70,ABW,FSM,1.1168789
71,ABW,GAB,0.9624478999999999
72,ABW,GBR,0.5889018999999999
73,ABW,GEO,0.6653747999999999
74,ABW,GHA,0.7031305999999999
75,ABW,GIB,1.2370649999999999
76,ABW,GIN,0.09755869999999998
77,ABW,GLP,1.50304
78,ABW,GMB,0.06094879999999999
79,ABW,GNB,0.1552197
80,ABW,GNQ,1.3698833
81,ABW,GRC,0.7790927999999999
82,ABW,GRD,1.1039255000000001
83,ABW,GRL,0.836499
84,ABW,GTM,1.2152745
85,ABW,GUF,0.604311
86,ABW,GUM,1.4827009999999998
87,ABW,GUY,0.5352239999999999
88,ABW,HKG,0.171457
89,ABW,HND,1.18019
90,ABW,HRV,1.4022475
91,ABW,HTI,1.2249599999999998
92,ABW,HUN,0.9319907
93,ABW,IDN,0.1134545
94,ABW,IMN,0.499433
95,ABW,IND,0.0254827
96,ABW,IRL,1.4182192999999998
97,ABW,IRN,0.00151
98,ABW,IRQ,0.022352900000000002
99,ABW,ISL,0.8181740000000001
100,ABW,ISR,0.028889899999999996
101,ABW,ITA,1.2571651
102,ABW,JAM,0.6208009999999999
103,ABW,JOR,0.028415999999999997
104,ABW,JPN,0.0281319
105,ABW,KAZ,0.24413599999999996
106,ABW,KEN,0.8892052999999999
107,ABW,KGZ,0.0857431
108,ABW,KHM,0.0037305999999999997
109,ABW,KIR,1.22199
110,ABW,KNA,0.9386591
111,ABW,KOR,0.34868569999999993
112,ABW,KWT,0.0
113,ABW,LAO,0.0168071
114,ABW,LBN,0.49505299999999997
115,ABW,LBR,0.7909892
116,ABW,LBY,0.032299999999999995
117,ABW,LCA,1.2328876
118,ABW,LIE,1.242041
119,ABW,LKA,0.10550259999999999
120,ABW,LSO,1.2241793
121,ABW,LTU,1.2705812
122,ABW,LUX,1.4130345
123,ABW,LVA,0.8580814
124,ABW,MAC,0.06751
125,ABW,MAR,0.008369999999999999
126,ABW,MCO,1.4157
127,ABW,MDA,0.7027453
128,ABW,MDG,0.6931044
129,ABW,MDV,0.0058817
130,ABW,MEX,1.4255581999999998
131,ABW,MHL,0.8742517000000001
132,ABW,MKD,0.5382226999999998
133,ABW,MLI,0.04250729999999999
134,ABW,MLT,1.5218186
135,ABW,MMR,0.0770317
136,ABW,MNE,0.6511435999999999
137,ABW,MNG,0.0337197
138,ABW,MNP,1.1573769999999999
139,ABW,MOZ,0.5829612000000001
140,ABW,MRT,0.0033480999999999997
141,ABW,MSR,0.9499809999999999
142,ABW,MTQ,1.4282949999999999
143,ABW,MUS,0.46671939999999995
144,ABW,MWI,0.7991948000000001
145,ABW,MYS,0.0920966
146,ABW,MYT,0.0
147,ABW,NAM,0.9582723
148,ABW,NCL,0.7043599999999999
149,ABW,NER,0.0442707
150,ABW,NGA,0.4350157
151,ABW,NIC,1.2460605
152,ABW,NIU,0.7467159999999998
153,ABW,NLD,0.7078028000000001
154,ABW,NOR,0.7452027999999998
155,ABW,NPL,0.012113
156,ABW,NRU,1.0680527
157,ABW,NZL,0.5904885999999999
158,ABW,OMN,0.0401025
159,ABW,PAK,0.0179096
160,ABW,PAN,1.4071717
161,ABW,PER,1.389674
162,ABW,PHL,1.3820569
163,ABW,PLW,1.1706564
164,ABW,PNG,1.021466
165,ABW,POL,1.4072856999999999
166,ABW,PRI,1.1715
167,ABW,PRK,0.050535899999999995
168,ABW,PRT,1.3287106999999998
169,ABW,PRY,1.4465839999999999
170,ABW,PSE,0.012546
171,ABW,PYF,0.94446
172,ABW,QAT,0.20843689999999998
173,ABW,REU,1.35278
174,ABW,ROU,0.8378336999999999
175,ABW,RUS,0.6229264
176,ABW,RWA,1.1724398
177,ABW,SAU,0.04828999999999999
178,ABW,SDN,0.09783809999999998
179,ABW,SEN,0.053724
180,ABW,SGP,0.21197680000000002
181,ABW,SHN,0.683128
182,ABW,SLB,0.9011859999999999
183,ABW,SLE,0.2154846
184,ABW,SLV,1.166154
185,ABW,SMR,1.3397134999999998
186,ABW,SOM,0.0004435
187,ABW,SPM,1.55727
188,ABW,SRB,0.7734649999999998
189,ABW,SSD,0.49609999999999993
190,ABW,STP,1.4049737
191,ABW,SUR,0.5776319999999999
192,ABW,SVK,1.0976114000000001
193,ABW,SVN,1.0450100000000002
194,ABW,SWE,0.6816846000000001
195,ABW,SWZ,0.8500961
196,ABW,SXM,0.937789
197,ABW,SYC,1.3737469
198,ABW,SYR,0.0766492
199,ABW,TCA,0.8274199999999999
200,ABW,TCD,0.39673030000000004
201,ABW,TGO,0.6111775
202,ABW,THA,0.0075739
203,ABW,TJK,0.017939
204,ABW,TKL,1.0818809999999999
205,ABW,TKM,0.07434999999999999
206,ABW,TLS,1.5311945
207,ABW,TON,0.8982859000000001
208,ABW,TTO,0.6443909
209,ABW,TUN,0.0051375
